jahr;rl;avbg;name;wert
2019;bilanz;999;eigenkapital_ende;100000
2019;bilanz;999;kasse_ende;100000
2020;bilanz;999;eigenkapital_anfang;100000.0
2020;bilanz;999;kasse_anfang;100000.0
2020;bilanz; BG111_Rente;bil_derue1_ende;639787.9788610231
2020;bilanz; BG113_Risiko;bil_derue1_ende;871059.0791416259
2020;bilanz;999;bil_derue1_ende;1510847.0580026489
2020;bilanz; BG111_Rente;bil_derue2_ende;639787.9788610231
2020;bilanz; BG113_Risiko;bil_derue2_ende;871059.0791416259
2020;bilanz;999;bil_derue2_ende;1510847.0580026489
2020;bilanz; BG111_Rente;bil_derue3_ende;639787.9788610231
2020;bilanz; BG113_Risiko;bil_derue3_ende;871059.0791416259
2020;bilanz;999;bil_derue3_ende;1510847.0580026489
2020;bilanz; BG111_Rente;bil_derue5_ende;639787.9788610231
2020;bilanz; BG113_Risiko;bil_derue5_ende;871059.0791416259
2020;bilanz;999;bil_derue5_ende;1510847.0580026489
2020;bilanz; BG111_Rente;bil_derue7_ende;639787.9788610231
2020;bilanz; BG113_Risiko;bil_derue7_ende;871059.0791416259
2020;bilanz;999;bil_derue7_ende;1510847.0580026489
2020;bilanz; BG111_Rente;nachreservierung_ende;0.0
2020;bilanz; BG113_Risiko;nachreservierung_ende;0.0
2020;bilanz;999;nachreservierung_ende;0.0
2020;guv; BG111_Rente;bil_gebuchter_beitrag;728829.0202670484
2020;guv; BG113_Risiko;bil_gebuchter_beitrag;5395559.211729595
2020;guv;999;bil_gebuchter_beitrag;6124388.231996644
2020;guv; BG111_Rente;bil_verdienter_beitrag_nw216;728829.0202670484
2020;guv; BG113_Risiko;bil_verdienter_beitrag_nw216;5395559.211729595
2020;guv;999;bil_verdienter_beitrag_nw216;6124388.231996644
2020;guv; BG113_Risiko;ap;5935115.132902554
2020;guv; BG111_Rente;ap;327973.05912017176
2020;guv;999;ap;6263088.192022726
2020;guv; BG111_Rente;iAK;116612.64324272772
2020;guv; BG113_Risiko;iAK;1726578.9477534704
